,latitud,longitud,property_rooms,property_surface_total,property_type_Departamento,property_type_PH
256070,-34.566536,-58.4796377,2.0,65.0,1,0
27438,-34.6456246,-58.4594077,1.0,29.0,1,0
211207,-34.59240844200652,-58.45473186862215,2.0,41.0,1,0
228948,-34.5770327,-58.4233675,1.0,49.0,1,0
361800,-34.58021,-58.412815,1.0,115.1,1,0
153179,-34.5821068,-58.4488264,1.0,36.0,1,0
212313,-34.6043669365,-58.4048720613,3.0,60.0,1,0
187633,-34.610446,-58.408441,1.0,33.0,1,0
251741,-34.616469,-58.370769,4.0,257.0,0,1
360651,-34.6430603,-58.3613523,6.0,199.0,0,0
26134,-34.5930486,-58.3798729,3.0,120.0,1,0
111435,-34.5855395,-58.4037923,3.0,65.0,1,0
178187,-34.6094488,-58.3938836,2.0,29.0,1,0
377901,-34.5881189,-58.3882271,3.0,87.0,1,0
53530,-34.581356,-58.4332694,2.0,70.0,1,0
415261,-34.5544285,-58.448833,3.0,53.0,1,0
428518,-34.6258365,-58.4378502,1.0,37.0,1,0
66805,-34.5940015,-58.4085957,5.0,174.0,1,0
393415,-34.5929997,-58.4962814,2.0,69.0,0,1
318910,-34.5733327356,-58.4216341688,3.0,110.0,1,0
155007,-34.592592933652725,-58.4553665006527,1.0,47.0,1,0
163967,-34.5798293,-58.4330084,1.0,41.0,1,0
439706,-34.6011382,-58.4590267,3.0,41.0,0,1
266218,-34.5817697,-58.4224894,4.0,128.0,1,0
445441,-34.591376532884354,-58.45246776891818,3.0,72.0,1,0
307877,-34.58756821047109,-58.44412836043573,5.0,192.0,1,0
286235,-34.6117282,-58.3888532,3.0,65.0,0,1
164264,-34.554242,-58.4915489,3.0,63.0,1,0
306206,-34.59189971343622,-58.453762912097986,3.0,65.0,1,0
76572,-34.5908536,-58.4158546,2.0,33.0,1,0
218548,-34.5872918,-58.4031186,3.0,53.0,1,0
35768,-34.627906,-58.432383,3.0,82.0,1,0
176047,-34.5695802,-58.4334626,2.0,51.0,1,0
183767,-34.5772274,-58.404563,3.0,176.0,1,0
452744,-34.6061073,-58.4555958,3.0,59.0,1,0
19532,-34.6089454957,-58.4301014023,3.0,44.0,1,0
310141,-34.5704357,-58.4344664,1.0,42.0,1,0
282339,-34.565047,-58.434799,3.0,85.0,1,0
257236,-34.595751,-58.3813496,2.0,36.0,1,0
270215,-34.5770701,-58.4869439,2.0,65.0,1,0
427124,-34.5679981083,-58.4504842758,3.0,82.0,1,0
355711,-34.6191927,-58.4380794,3.0,58.0,1,0
137226,-34.5820981,-58.4488594,1.0,33.0,1,0
60140,-34.5722907046,-58.4587968762,1.0,32.0,1,0
355333,-34.6096716,-58.4102959,1.0,39.0,1,0
451367,-34.5609567,-58.4632805,4.0,91.0,1,0
270366,-34.587869,-58.4205569,3.0,104.8,1,0
24269,-34.6050642565,-58.4115238915,2.0,35.0,1,0
7739,-34.6190756,-58.4610306,1.0,49.0,1,0
48010,-34.5454209,-58.4633481,2.0,48.0,1,0
188123,-34.6045384,-58.4249555,2.0,48.0,1,0
216718,-34.5970712,-58.3889798,5.0,104.0,1,0
219936,-34.595315618,-58.3782310233,2.0,56.0,1,0
229171,-34.5920483,-58.3920216,4.0,182.0,1,0
43901,-34.5946609,-58.4022998,4.0,100.0,1,0
52130,-34.603217,-58.440263,2.0,43.0,1,0
56278,-34.6264955,-58.4410095,3.0,73.0,1,0
337369,-34.6462424,-58.4192968,6.0,198.0,0,1
449808,-34.6111909,-58.4192143,4.0,57.0,1,0
380381,-34.5944341,-58.5062686,2.0,44.0,0,1
22789,-34.5706838127,-58.4305715561,4.0,79.0,1,0
185265,-34.5952011,-58.410124,2.0,36.0,1,0
370088,-34.5731817,-58.4327204,2.0,36.0,1,0
436760,-34.5707867,-58.4883185,3.0,85.0,1,0
257090,-34.5967308,-58.3962584,2.0,45.0,1,0
116264,-34.5598733,-58.4492538,4.0,150.0,1,0
92118,-34.5940782875,-58.4210465826,2.0,46.0,1,0
183163,-34.5953266,-58.4403884,1.0,35.0,1,0
202483,-34.6755603,-58.4948592,6.0,239.0,0,0
28332,-34.6528120549,-58.5239589215,3.0,242.0,0,1
17999,-34.6018183,-58.4932805,2.0,41.0,1,0
173802,-34.6125782,-58.4126768,3.0,80.0,1,0
67547,-34.5875591525,-58.4060738456,3.0,58.0,1,0
128758,-34.5825783,-58.4234221,3.0,83.0,1,0
344828,-34.5933013,-58.4252977,2.0,33.0,1,0
40990,-34.5973837,-58.4051391,4.0,91.0,1,0
27568,-34.5804936,-58.4319324,3.0,90.0,1,0
120818,-34.5921089,-58.4074334,3.0,85.0,1,0
164977,-34.612345,-58.4043495,1.0,22.0,1,0
379466,-34.5848896,-58.4067998,3.0,88.0,1,0
310366,-34.6083,-58.3712,2.0,49.0,1,0
122436,-34.604847,-58.4439521,2.0,63.0,0,1
202059,-34.6126113,-58.5028367,3.0,56.0,1,0
267940,-34.577975,-58.430557,2.0,54.0,1,0
15272,-34.5845809,-58.4051418,3.0,111.8,1,0
282857,-34.6556754,-58.501005,3.0,149.8,0,0
19247,-34.5911212689934,-58.45237117604154,3.0,168.9,0,0
45841,-34.5615655,-58.4645385,5.0,177.0,1,0
256380,-34.5908613,-58.4250368,1.0,36.0,1,0
248437,-34.573775,-58.4901026,3.0,69.0,1,0
80966,-34.614343,-58.395714,3.0,51.0,0,1
344940,-34.5589111,-58.4510895,4.0,119.0,1,0
429758,-34.6289595,-58.5150292,3.0,65.0,1,0
143880,-34.5499812,-58.4830928,1.0,37.0,1,0
450254,-34.5691202,-58.4358459,2.0,38.0,1,0
240490,-34.5929273,-58.4438494,2.0,30.0,1,0
398594,-34.5430257,-58.4734818,2.0,35.0,1,0
225635,-34.60496,-58.448139,2.0,30.0,0,1
183378,-34.5968859,-58.4030903,3.0,74.0,1,0
163229,-34.6060343,-58.4936225,2.0,51.0,1,0
349654,-34.6294822,-58.3742305,2.0,42.0,1,0
275644,-34.615567,-58.367545,2.0,60.0,1,0
87807,-34.5672799172,-58.4348119623,4.0,111.0,1,0
19540,-34.5592897,-58.4781133,3.0,75.0,1,0
391281,-34.626178,-58.4373546,4.0,141.0,1,0
303074,-34.6233835,-58.4363546,4.0,80.0,1,0
