,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,cp_1,cp_5
0,2.0,1.0,65.0,53.0,-0.8477562521383597,-0.08213482339608032
1,1.0,1.0,29.0,29.0,-2.3571660525162277,-0.3717240125490769
2,2.0,1.0,41.0,35.0,-1.6741661427573307,-0.014827371647166606
3,1.0,1.0,49.0,44.0,-1.638239944060798,0.09252607499247027
4,1.0,2.0,115.1,78.0,0.3491853621230047,0.17156001549992733
5,1.0,1.0,36.0,31.0,-2.184014851915974,0.1547120218261504
6,3.0,2.0,60.0,50.0,-0.40771077399820405,0.033225575412022035
7,1.0,1.0,33.0,31.0,-2.361841653045183,0.2589067074780709
8,4.0,4.0,257.0,178.0,4.897007876589617,2.04315420807931
9,6.0,4.0,199.0,157.0,4.530882905227361,1.3573921064050272
10,3.0,2.0,120.0,120.0,2.0181534337220945,-0.1745363712979453
11,3.0,2.0,65.0,65.0,0.15679235672060396,-0.17372024522626972
12,2.0,1.0,29.0,29.0,-2.010272997833874,0.09111004888721853
13,3.0,2.0,87.0,87.0,1.440685226133177,-1.071442737823376
14,2.0,1.0,70.0,66.0,-0.6275852468531445,0.08897198893286697
15,3.0,2.0,53.0,50.0,-0.3333886063474653,0.007446733742544091
16,1.0,1.0,37.0,34.0,-2.1505463187050067,-0.12172007736101129
17,5.0,4.0,174.0,174.0,5.067923358828071,0.008711475804823735
18,2.0,1.0,69.0,41.0,-1.389649391941542,0.30891179799258955
19,3.0,2.0,110.0,100.0,2.248001471680847,-1.4054837861722318
20,1.0,1.0,47.0,32.0,-2.1276396271091724,0.27769248701246996
21,1.0,1.0,41.0,30.0,-2.096950836836366,0.17852460628633168
22,3.0,2.0,41.0,41.0,-0.7918794376159295,-0.2372472325187005
23,4.0,3.0,128.0,123.0,2.755660514357818,0.028104080174570237
24,3.0,2.0,72.0,65.0,0.22841344367873134,-0.3040183987188998
25,5.0,5.0,192.0,182.0,6.395110819549977,-0.9382811237373022
26,3.0,2.0,65.0,54.0,-0.4659505611318077,0.375762401212188
27,3.0,2.0,63.0,60.0,-0.1588947292758627,0.15676435392485463
28,3.0,2.0,65.0,53.0,-0.18867592647943165,-0.15632621970467525
29,2.0,1.0,33.0,30.0,-1.8123081148103066,-0.016621029456678208
30,3.0,2.0,53.0,53.0,-0.20684766994841677,-0.25679722953346934
31,3.0,2.0,82.0,70.0,0.4368961323054517,-0.4856015916293549
32,2.0,1.0,51.0,43.0,-1.236136062540339,0.011162183175366653
33,3.0,2.0,176.0,133.0,2.681619019170877,0.6643821619265625
34,3.0,2.0,59.0,54.0,-0.25281319255036566,-0.30499836936842
35,3.0,2.0,44.0,44.0,-0.6673616453014396,-0.25528048211510634
36,1.0,1.0,42.0,37.0,-1.8224275184591114,0.026181492307885308
37,3.0,2.0,85.0,79.0,0.7039101820336807,-0.05924073307177796
38,2.0,1.0,36.0,33.0,-1.8282403884349534,0.24638548619685674
39,2.0,1.0,65.0,51.0,-0.900878379325416,-0.164138049561793
40,3.0,2.0,82.0,82.0,0.4740232318450771,0.27005448438524565
41,3.0,2.0,58.0,58.0,-0.3691835318624045,-0.06969292897417131
42,1.0,1.0,33.0,28.0,-2.175676368612229,-0.03203060675308811
43,1.0,1.0,32.0,29.0,-2.2821902429804326,0.20594504492610907
44,1.0,1.0,39.0,33.0,-2.2095689796119653,0.22350002975755434
45,4.0,3.0,91.0,81.0,1.3872473888312864,0.1331390950193119
46,3.0,2.0,104.8,81.0,0.7724959788090978,0.26986853218965406
47,2.0,1.0,35.0,35.0,-1.8312585271287032,0.11459595589756115
48,1.0,1.0,49.0,49.0,-1.611463722156679,-0.27221019660837825
49,2.0,1.0,48.0,38.0,-1.3297136908649145,0.051427246640786496
50,2.0,1.0,48.0,41.0,-1.5561469298280628,0.14366204504606314
51,5.0,3.0,104.0,102.0,2.405987945643293,-0.14483021933765405
52,2.0,1.0,56.0,55.0,-1.2419090422998076,0.47119794241377266
53,4.0,3.0,182.0,182.0,4.6123281249263846,0.1264699221396216
54,4.0,3.0,100.0,97.0,1.8615041793805074,-0.04511118950503629
55,2.0,1.0,43.0,38.0,-1.6965486679929254,0.12103047832919436
56,3.0,2.0,73.0,64.0,0.5030406601129974,-1.038737342742931
57,6.0,3.0,198.0,128.0,3.928932688859106,0.631893894992897
58,4.0,3.0,57.0,57.0,0.5588429262993523,-0.39786813144557864
59,2.0,1.0,44.0,44.0,-1.557632275100335,-0.03209798525050927
60,4.0,3.0,79.0,75.0,1.5060958429979667,-0.559808472570661
61,2.0,1.0,36.0,36.0,-1.7537232617211664,0.12792628227467287
62,2.0,1.0,36.0,32.0,-1.7944625752427654,0.19372922874449475
63,3.0,2.0,85.0,60.0,0.2028798063207865,0.004567348096038326
64,2.0,1.0,45.0,45.0,-1.431141917608165,0.124827754317697
65,4.0,3.0,150.0,104.0,2.8531187127481097,-0.017188268382323655
66,2.0,1.0,46.0,45.0,-1.5279949041957641,0.2640862615053705
67,1.0,1.0,35.0,33.0,-2.154710371904551,0.05208094731599528
68,6.0,4.0,239.0,112.0,4.19294178232815,0.9628438907628015
69,3.0,2.0,242.0,98.0,2.143028463574621,1.2967532953076033
70,2.0,1.0,41.0,37.0,-1.6887514673402106,-0.12614036811630747
71,3.0,2.0,80.0,76.0,0.31223792177015947,0.04552626019319452
72,3.0,2.0,58.0,52.0,-0.2797172725113109,-0.03908682115572249
73,3.0,2.0,83.0,78.0,1.1075854790928794,-0.9460005945676433
74,2.0,1.0,33.0,33.0,-1.9031192879710541,0.18003117411818478
75,4.0,3.0,91.0,85.0,1.4323945907143643,0.045611059436395436
76,3.0,2.0,90.0,90.0,0.992065010500706,-0.20250518456018615
77,3.0,2.0,85.0,83.0,0.7427451499964853,-0.15009747078309071
78,1.0,1.0,22.0,22.0,-2.588435010119398,0.06981641996076528
79,3.0,3.0,88.0,80.0,1.05067199550936,0.016018389364142804
80,2.0,1.0,49.0,42.0,-1.549491217373318,0.32134244468558026
81,2.0,1.0,63.0,58.9,-1.063360645431635,0.1942508350893832
82,3.0,2.0,56.0,52.0,-0.45825872494936265,-0.2957463795352827
83,2.0,1.0,54.0,46.0,-0.963250792515763,-0.3438429146368263
84,3.0,2.0,111.8,84.0,0.9746290230851187,0.2808325121264429
85,3.0,2.0,149.8,148.0,1.8831539307433376,0.8143760035059507
86,3.0,3.0,168.9,155.0,2.789333987631629,1.33346784240862
87,5.0,3.0,177.0,111.0,4.072440073042297,-0.6649845359910909
88,1.0,1.0,36.0,36.0,-2.002125528410252,-0.004981553342479006
89,3.0,2.0,69.0,60.0,0.06878808340019307,-0.23041094351600963
90,3.0,2.0,51.0,50.0,-0.514406938760147,-0.08516731271056516
91,4.0,3.0,119.0,109.0,2.5906658737341592,-0.2534212638733172
92,3.0,2.0,65.0,47.0,-0.36197237302083557,-0.5445596931927147
93,1.0,1.0,37.0,34.0,-2.0958567360636438,0.29136542917866004
94,2.0,1.0,38.0,38.0,-1.6580724601865435,0.2230721057373056
95,2.0,1.0,30.0,30.0,-1.9230988365000528,-0.011655898470481294
96,2.0,1.0,35.0,35.0,-1.7739445980861526,0.3551066402067897
97,2.0,1.0,30.0,24.0,-2.0331741658668965,-0.12196365494562082
98,3.0,2.0,74.0,71.0,0.20895778826686873,0.06934343942351384
99,2.0,1.0,51.0,44.0,-1.5296866031878356,0.0495804319248215
100,2.0,1.0,42.0,3.0,-2.135783941307128,-0.24553075606826194
101,2.0,1.0,60.0,55.0,-0.9128089357417261,-0.12092070315001288
102,4.0,3.0,111.0,100.0,2.601685466353841,-0.7842111608402997
103,3.0,2.0,75.0,68.0,0.07427447675255963,0.325566300301522
104,4.0,3.0,141.0,129.0,3.380324348232988,-0.9243468286528029
105,4.0,3.0,80.0,75.0,1.1923881704800723,-0.4629988670864114
106,2.0,1.0,54.0,49.0,-1.3387566967890274,0.021325853192881536
107,4.0,3.0,83.0,78.0,1.3183549020231369,-0.5543133654292058
108,4.0,3.0,73.0,73.0,1.0583195599522615,-0.39440043968010036
109,2.0,1.0,54.0,46.0,-1.332176776594714,0.4633488490306607
110,1.0,1.0,40.0,36.0,-2.07997988888262,-0.14379824033772873
111,3.0,2.0,74.0,67.0,0.18240021438122148,-0.22852136302994522
112,4.0,2.0,185.0,150.0,3.040424081581974,0.7177628699986774
113,1.0,1.0,34.0,34.0,-2.2125934688721407,-0.1451493664658969
114,5.0,3.0,135.0,121.0,2.842310844686997,0.34783759983188406
115,3.0,2.0,48.0,48.0,-0.3501120051810595,-0.35841495487173014
116,1.0,1.0,23.0,23.0,-2.5667746358745163,0.19444864377053123
117,2.0,1.0,57.0,57.0,-1.0523273548729701,0.03937551316404534
118,3.0,2.0,72.0,61.0,0.17684557513052535,-0.43804526286865225
119,2.0,1.0,42.0,40.0,-1.5810528037044607,-0.09696461671215158
120,2.0,1.0,55.0,49.0,-1.2247138880053814,0.05198657550670134
121,3.0,2.0,63.0,63.0,-0.2321392363422088,0.14742674655292543
122,2.0,1.0,57.0,47.0,-1.0492978258155046,-0.22553996805280482
123,1.0,1.0,50.0,50.0,-1.7722249916079975,0.32048293332968064
124,2.0,1.0,94.2,77.0,-0.39514841576444704,0.7276981371647163
125,2.0,1.0,48.2,34.0,-1.5974032406130931,0.020142586517350014
126,1.0,1.0,25.0,25.0,-2.456867725651221,0.1665646586688835
127,1.0,1.0,36.0,32.0,-2.2350567008516427,0.03152529076182438
128,3.0,2.0,181.0,144.0,2.5818868316031933,0.8401061841274976
129,3.0,2.0,77.0,69.0,0.49942913909472336,-0.26718834151578846
130,2.0,1.0,46.0,42.0,-1.3856318198170239,0.0537153258692737
131,2.0,1.0,34.0,34.0,-1.657058744594447,-0.12936300476623597
132,2.0,1.0,54.0,50.0,-0.9648024034683433,-0.2553616401644702
133,3.0,2.0,131.0,131.0,1.807242499756093,0.6896440511368915
134,4.0,3.0,128.0,123.0,3.003078008002314,-0.39319290200471013
135,1.0,1.0,37.0,33.0,-2.199458583708972,-0.06022126831770449
136,3.0,2.0,130.0,130.0,2.2728195170284993,-0.03899157807646248
137,2.0,1.0,50.0,46.1,-1.308294248595466,0.16112889922247947
138,1.0,1.0,33.0,28.0,-2.2318850352507336,0.1330949563379258
139,3.0,1.0,45.0,45.0,-1.2286569475896194,0.1599902029692471
140,4.0,3.0,122.0,81.0,1.7508866378662291,0.09335246040457826
141,2.0,1.0,63.0,47.0,-1.120652626736606,0.10891274260589213
142,6.0,4.0,212.0,192.0,6.6113678857139115,-0.3399823536511539
143,4.0,3.0,99.0,92.0,1.6162116545476808,0.26740059388979537
144,5.0,3.0,143.0,126.0,3.0340398760304477,0.5239994768111724
145,3.0,2.0,83.0,66.0,0.31212916156746373,-0.3737222751770117
146,2.0,1.0,82.0,48.0,-1.0091084676080297,0.44171305562646934
147,4.0,3.0,187.0,123.0,3.161202958131177,0.41407696013807266
148,2.0,1.0,38.0,38.0,-1.669961617526279,0.1487320447286761
149,4.0,3.0,215.0,140.0,3.8928673835619736,1.0004726717389667
150,5.0,4.0,266.0,184.0,5.961082445583058,0.8272704539535614
151,3.0,2.0,140.0,75.0,0.8726129481951891,0.5057004220974768
152,4.0,3.0,127.0,118.0,3.423944969091572,-1.239326221718307
153,4.0,3.0,210.0,109.0,2.79084416164542,1.53493792987983
154,2.0,1.0,62.0,62.0,-1.0888289917471459,0.5354035026113774
155,5.0,3.0,258.0,180.0,6.032101733846224,0.1320411517601656
156,2.0,1.0,55.0,47.0,-1.1571087371661553,-0.062462391355891454
157,2.0,1.0,37.0,37.0,-1.671050326768784,0.15640134127214303
158,3.0,2.0,50.0,50.0,-0.5319165569109107,-0.2573937902842322
159,2.0,1.0,49.0,44.0,-1.159058159165339,-0.174339400410007
160,2.0,1.0,66.0,56.0,-1.0725262145102719,0.26343362216731725
161,2.0,1.0,38.0,38.0,-1.6839017477063971,0.060469248526471474
162,2.0,1.0,58.0,55.0,-1.0885507214296486,0.0911903934638846
163,1.0,1.0,35.0,31.0,-2.2087112535046085,0.07705027934173606
164,2.0,1.0,45.0,39.0,-1.567478242112192,0.09196473094851665
