,property_price
0,198000.0
1,63000.0
2,93000.0
3,160000.0
4,290000.0
5,83789.0
6,105000.0
7,44900.0
8,249900.0
9,160000.0
10,390000.0
11,199000.0
12,55000.0
13,430000.0
14,205000.0
15,140000.0
16,83000.0
17,425000.0
18,75000.0
19,550000.0
20,66780.0
21,99500.0
22,75000.0
23,316242.0
24,198000.0
25,585000.0
26,62000.0
27,125000.0
28,140000.0
29,95000.0
30,170000.0
31,216000.0
32,163000.0
33,380000.0
34,135000.0
35,94000.0
36,150000.0
37,249000.0
38,74000.0
39,190000.0
40,180000.0
41,92000.0
42,104892.0
43,72500.0
44,65000.0
45,169900.0
46,210000.0
47,67500.0
48,150000.0
49,159000.0
50,88992.0
51,249000.0
52,110000.0
53,495000.0
54,230000.0
55,72000.0
56,279900.0
57,230000.0
58,115000.0
59,83500.0
60,260000.0
61,83000.0
62,83000.0
63,170000.0
64,120000.0
65,349000.0
66,88000.0
67,89000.0
68,108000.0
69,168000.0
70,80000.0
71,164900.0
72,139000.0
73,375000.0
74,58000.0
75,174000.0
76,280000.0
77,249000.0
78,42000.0
79,199000.0
80,88000.0
81,125000.0
82,89000.0
83,222946.0
84,239000.0
85,168000.0
86,210000.0
87,490000.0
88,120000.0
89,175000.0
90,99900.0
91,340000.0
92,110000.0
93,92000.0
94,95000.0
95,69900.0
96,77000.0
97,60000.0
98,169000.0
99,73900.0
100,78000.0
101,195000.0
102,398000.0
103,132000.0
104,440000.0
105,170000.0
106,105000.0
107,184500.0
108,158000.0
109,113000.0
110,87000.0
111,175000.0
112,285000.0
113,69500.0
114,219900.0
115,159000.0
116,42000.0
117,155000.0
118,200000.0
119,100000.0
120,132000.0
121,99000.0
122,183393.0
123,99000.0
124,170000.0
125,99000.0
126,59900.0
127,66000.0
128,299000.0
129,245000.0
130,139500.0
131,122000.0
132,210000.0
133,262000.0
134,387000.0
135,69000.0
136,400000.0
137,132000.0
138,89600.0
139,69000.0
140,193600.0
141,149000.0
142,590000.0
143,175000.0
144,239000.0
145,190000.0
146,125000.0
147,275000.0
148,95000.0
149,340000.0
150,395000.0
151,165000.0
152,530000.0
153,160000.0
154,105000.0
155,590000.0
156,163500.0
157,98000.0
158,89900.0
159,189000.0
160,120485.0
161,88000.0
162,146000.0
163,78000.0
164,94999.0
165,150000.0
166,225000.0
167,598000.0
168,305000.0
169,80000.0
170,100000.0
171,198000.0
172,40000.0
173,290000.0
174,225000.0
175,110000.0
176,84900.0
177,69000.0
178,75000.0
179,135000.0
180,188000.0
181,450000.0
182,99000.0
183,142000.0
184,79000.0
185,167000.0
186,209000.0
187,70000.0
188,69000.0
189,91500.0
190,300000.0
191,116000.0
192,76000.0
193,99000.0
194,282000.0
195,277000.0
196,72029.0
197,109000.0
198,72000.0
199,75000.0
200,446823.0
201,159000.0
202,115000.0
203,108000.0
204,112000.0
205,250000.0
206,189000.0
207,335000.0
208,85000.0
209,120000.0
210,210000.0
211,230000.0
212,159000.0
213,80000.0
214,205000.0
215,115800.0
216,350000.0
217,120000.0
218,151000.0
219,95000.0
220,89000.0
221,100000.0
222,149500.0
223,169000.0
224,129900.0
225,205000.0
226,290000.0
227,215000.0
228,220000.0
229,191000.0
230,78000.0
231,130000.0
232,210000.0
233,57000.0
234,175000.0
235,72000.0
236,299000.0
237,210478.0
238,145000.0
239,260000.0
240,99900.0
241,320000.0
242,142500.0
243,109500.0
244,52900.0
245,155000.0
246,119000.0
247,87800.0
248,115000.0
249,79000.0
250,340000.0
251,99000.0
252,145000.0
253,160000.0
254,220000.0
255,125000.0
256,139500.0
257,67000.0
258,99000.0
259,212000.0
260,165000.0
261,252000.0
262,76000.0
263,124950.0
264,110000.0
265,72000.0
266,134033.0
267,88000.0
268,129000.0
269,465000.0
270,130000.0
271,135900.0
272,218000.0
273,120000.0
274,209000.0
275,580000.0
276,110000.0
277,114900.0
278,125000.0
279,186533.0
280,100000.0
281,105000.0
282,79000.0
283,360000.0
284,549000.0
285,109747.0
286,320000.0
287,140000.0
288,84000.0
289,118000.0
290,192375.0
291,246900.0
292,198000.0
293,134000.0
294,309000.0
295,109000.0
296,144000.0
297,375000.0
298,168500.0
299,196464.0
300,285000.0
301,280000.0
302,219000.0
303,105000.0
304,189000.0
305,179000.0
306,97000.0
307,115000.0
308,130000.0
309,149000.0
310,137000.0
311,105000.0
312,70000.0
313,115000.0
314,124000.0
315,35000.0
316,95000.0
317,165000.0
318,79900.0
319,74900.0
320,85000.0
321,99000.0
322,220000.0
323,135000.0
324,180000.0
325,200000.0
326,51900.0
327,200000.0
328,480000.0
329,128790.0
330,92000.0
331,280000.0
332,320000.0
333,178000.0
334,105040.0
335,125000.0
336,232000.0
337,29900.0
338,170000.0
339,95441.0
340,490000.0
341,200000.0
342,380000.0
343,145000.0
344,350000.0
345,225000.0
346,230000.0
347,148000.0
348,89000.0
349,92000.0
350,298000.0
351,549000.0
352,310000.0
353,160855.0
354,168000.0
355,265000.0
356,74999.0
357,250000.0
358,109000.0
359,110000.0
360,115000.0
361,139000.0
362,120000.0
363,79000.0
364,105000.0
365,250000.0
366,167000.0
367,255000.0
368,570000.0
369,195000.0
370,125000.0
371,225000.0
372,62500.0
373,138000.0
374,122000.0
375,590000.0
376,209000.0
377,175000.0
378,99000.0
379,58000.0
380,60000.0
381,330000.0
382,590000.0
383,114000.0
384,50000.0
385,215000.0
386,198000.0
387,49980.0
388,550000.0
389,349000.0
390,178000.0
391,115000.0
392,85000.0
393,66600.0
394,260000.0
395,395000.0
396,520000.0
397,75000.0
398,153000.0
399,77000.0
400,100000.0
401,199000.0
402,99900.0
403,520000.0
404,177000.0
405,72000.0
406,82500.0
407,149000.0
408,130000.0
409,55000.0
410,129900.0
411,90000.0
412,165000.0
413,329000.0
414,265000.0
415,135000.0
416,100000.0
417,79000.0
418,145000.0
419,135000.0
